=== EXISTING 354 PRODUCTS RECONCILIATION ===
PRICE FIX NEEDED: yq-754 | current=9400 | Yaqoot orig=12000 sale=9600 -> Luminous=11800
PRICE FIX NEEDED: yq-960 | current=1750 | Yaqoot orig=3000 sale=1950 -> Luminous=2800
PRICE FIX NEEDED: yq-1680 | current=3160 | Yaqoot orig=4000 sale=3360 -> Luminous=3800
PRICE FIX NEEDED: yq-1693 | current=3000 | Yaqoot orig=4000 sale=3200 -> Luminous=3800
PRICE FIX NEEDED: yq-1695 | current=2550 | Yaqoot orig=5000 sale=2750 -> Luminous=4800
PRICE FIX NEEDED: yq-1900 | current=8300 | Yaqoot orig=10000 sale=8500 -> Luminous=9800
PRICE FIX NEEDED: yq-2033 | current=2400 | Yaqoot orig=4000 sale=2600 -> Luminous=3800
PRICE FIX NEEDED: yq-2082 | current=11000 | Yaqoot orig=16000 sale=11200 -> Luminous=15800
PRICE FIX NEEDED: yq-2137 | current=4300 | Yaqoot orig=6000 sale=4500 -> Luminous=5800
PRICE FIX NEEDED: yq-2215 | current=6520 | Yaqoot orig=8000 sale=6720 -> Luminous=7800
PRICE FIX NEEDED: yq-2245 | current=8300 | Yaqoot orig=10000 sale=8500 -> Luminous=9800
PRICE FIX NEEDED: yq-2422 | current=9520 | Yaqoot orig=12000 sale=9720 -> Luminous=11800
PRICE FIX NEEDED: yq-2468 | current=1750 | Yaqoot orig=2500 sale=1950 -> Luminous=2300
PRICE FIX NEEDED: yq-2653 | current=3400 | Yaqoot orig=4000 sale=3600 -> Luminous=3800
PRICE FIX NEEDED: yq-2758 | current=9160 | Yaqoot orig=12000 sale=9360 -> Luminous=11800
PRICE FIX NEEDED: yq-2760 | current=4900 | Yaqoot orig=6000 sale=5100 -> Luminous=5800
PRICE FIX NEEDED: yq-2761 | current=8300 | Yaqoot orig=10000 sale=8500 -> Luminous=9800
PRICE FIX NEEDED: yq-1051 | current=7300 | Yaqoot orig=10000 sale=7500 -> Luminous=9800
PRICE FIX NEEDED: yq-1155 | current=11000 | Yaqoot orig=14000 sale=11200 -> Luminous=13800
PRICE FIX NEEDED: yq-2064 | current=9760 | Yaqoot orig=12000 sale=9960 -> Luminous=11800
PRICE FIX NEEDED: yq-2198 | current=9760 | Yaqoot orig=12000 sale=9960 -> Luminous=11800
PRICE FIX NEEDED: yq-2199 | current=9760 | Yaqoot orig=12000 sale=9960 -> Luminous=11800
PRICE FIX NEEDED: yq-2202 | current=7700 | Yaqoot orig=10000 sale=7900 -> Luminous=9800
PRICE FIX NEEDED: yq-2471 | current=8300 | Yaqoot orig=10000 sale=8500 -> Luminous=9800
PRICE FIX NEEDED: yq-2680 | current=8300 | Yaqoot orig=10000 sale=8500 -> Luminous=9800
PRICE FIX NEEDED: yq-2682 | current=9400 | Yaqoot orig=12000 sale=9600 -> Luminous=11800
PRICE FIX NEEDED: yq-2706 | current=6300 | Yaqoot orig=10000 sale=6500 -> Luminous=9800
PRICE FIX NEEDED: yq-2786 | current=11000 | Yaqoot orig=14000 sale=11200 -> Luminous=13800
PRICE FIX NEEDED: yq-2796 | current=11000 | Yaqoot orig=14000 sale=11200 -> Luminous=13800
PRICE FIX NEEDED: yq-629 | current=13720 | Yaqoot orig=16000 sale=13920 -> Luminous=15800
PRICE FIX NEEDED: yq-710 | current=11000 | Yaqoot orig=14000 sale=11200 -> Luminous=13800
PRICE FIX NEEDED: yq-1012 | current=8200 | Yaqoot orig=12000 sale=8400 -> Luminous=11800
